"State,City",Population
"Connecticut,West Haven",55518
"Georgia,Smyrna",55460
"California,Huntington Park",55439
"Texas,Wylie",55426
"California,Diamond Bar",55339
"Minnesota,Apple Valley",55237
"New Jersey,Perth Amboy",55046
"Florida,Bradenton",54918
"Georgia,Brookhaven",54902
"California,Hacienda Heights",54841
"Kansas,Manhattan",54794
"Oregon,Tigard",54750
"Florida,Tamiami",54525
"California,Yucaipa",54312
"Florida,Westchester",54238
"Massachusetts,Peabody",54200
"New Jersey,Plainfield",54183
"Mississippi,Southaven",54141
"Florida,Apopka",54110
"Illinois,Oak Park",54100
"Florida,Horizon West",54038
"Maryland,Severn",53955
"California,Paramount",53904
"California,Colton",53894
"Michigan,Kentwood",53884
"Maryland,Aspen Hill",53850
"Minnesota,Minnetonka",53809
"Illinois,Wheaton",53762
"California,West Sacramento",53589
"Arizona,Casa Grande",53488
"Illinois,Normal",53446
"Florida,Kendale Lakes",53392
"California,San Jacinto",53299
"California,Novato",53214
"Florida,Pinellas Park",53130
"Texas,Galveston",53092
"Minnesota,Edina",53059
"Utah,Herriman",52860
"Ohio,Elyria",52853
"Nebraska,Grand Island",52755
"Oregon,Aloha",52704
"Washington,Lacey",52572
"Arkansas,Bentonville",52565
"New York,Levittown",52540
"Massachusetts,Methuen Town",52536
"New Jersey,West New York",52485
"California,Glendora",52458
"Tennessee,Smyrna",52401
"Missouri,Florissant",52382
"California,Delano",52206
"North Carolina,Kannapolis",52173
"Illinois,Hoffman Estates",52153
"California,Beaumont",52081
"California,Placentia",51951
"California,Aliso Viejo",51943
"Maryland,Wheaton",51836
"California,Cathedral City",51836
"California,Rosemead",51698
"Washington,Burien",51646
"Montana,Bozeman",51574
"California,Florin",51568
"Idaho,Twin Falls",51223
"Oklahoma,Enid",51129
"Florida,Country Club",51105
"Georgia,Dunwoody",51103
"Pennsylvania,Levittown",51100
"California,Palm Desert",51081
"California,Covina",51061
"Ohio,Cuyahoga Falls",50906
"Ohio,Lakewood",50841
"Arizona,Marana",50834
"Indiana,Mishawaka",50823
"Indiana,Columbus",50718
"New York,Troy",50717
"Maryland,North Bethesda",50695
"Connecticut,Milford city",50694
"Tennessee,Collierville",50669
"Texas,Grapevine",50548
"South Carolina,Summerville",50318
"California,Cypress",50279
"Illinois,Downers Grove",50209
"Utah,Murray",50183
